year,brood,offspring,rank,dam,sire,dam.type,sire.type,hothiphop.parents,hiphop,hot.parents,hot.dam,hot.sire,hothiphop.dam,hothiphop.sire,below.threshold,threshold,loci.dyad.dam,loci.dyad.sire,loci.triad,offspring.heterozygosity,social.mother.sampled,social.father.sampled,social.mother,social.father,condition,ranking,ranking2
2019,1,WCR2019_0861,3,WCR2019_0223,WCR2019_0088,within-group subordinate,within-group subordinate,58,28,30,17,37,45,65,1,99999,484,642,378,0.40962441314554,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0862,1,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,67,32,35,28,33,60,65,1,99999,486,820,472,0.390588235294118,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0862,2,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,67,22,45,28,53,50,75,1,99999,486,619,354,0.390588235294118,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0862,3,WCR2019_0223,WCR2019_0161,within-group subordinate,within-group subordinate,70,34,36,28,38,62,72,1,99999,486,800,467,0.390588235294118,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0863,1,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,64,35,29,26,27,61,62,1,99999,488,827,473,0.396270396270396,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0863,2,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,65,26,39,26,43,52,69,1,99999,488,626,355,0.396270396270396,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0863,3,WCR2019_0223,WCR2019_0161,within-group subordinate,within-group subordinate,73,37,36,26,40,63,77,1,99999,488,808,469,0.396270396270396,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0864,1,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,59,26,33,28,20,54,46,1,99999,488,826,473,0.424737456242707,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0864,2,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,63,24,39,28,35,52,59,1,99999,488,759,425,0.424737456242707,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0864,3,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,65,25,40,28,46,53,71,1,99999,488,624,355,0.424737456242707,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0865,1,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,66,30,36,29,39,59,69,1,99999,487,758,424,0.426401869158879,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0865,2,WCR2019_0440,WCR2019_0122,within-group subordinate,within-group subordinate,67,32,35,23,24,55,56,1,99999,567,844,561,0.426401869158879,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0865,3,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,70,33,37,29,18,62,51,1,99999,487,825,472,0.426401869158879,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0866,1,WCR2019_0223,WCR2019_0359,within-group subordinate,within-group subordinate,36,21,15,14,4,35,25,1,99999,485,811,461,0.379835873388042,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0866,2,WCR2019_0223,WCR2019_0075,within-group subordinate,within-group subordinate,37,20,17,14,23,34,43,1,99999,485,743,415,0.379835873388042,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0866,3,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,38,20,18,14,13,34,33,1,99999,485,822,470,0.379835873388042,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0868,1,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,50,24,26,18,22,42,46,1,99999,486,826,471,0.429404900816803,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0868,2,WCR2019_0223,WCR2019_0161,within-group subordinate,within-group subordinate,53,33,20,18,15,51,48,1,99999,486,807,467,0.429404900816803,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0868,3,WCR2019_0223,WCR2019_0122,within-group subordinate,within-group subordinate,60,34,26,18,25,52,59,1,99999,486,845,479,0.429404900816803,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0869,1,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,56,20,36,30,40,50,60,1,99999,487,626,355,0.348484848484849,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0869,2,WCR2019_0440,WCR2019_0087,within-group subordinate,within-group subordinate,64,18,46,41,40,59,58,1,99999,567,626,413,0.348484848484849,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0869,3,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,65,26,39,30,31,56,57,1,99999,487,827,472,0.348484848484849,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0870,1,WCR2019_0223,WCR2019_0461,within-group subordinate,within-group subordinate,53,26,27,27,2,53,28,1,99999,488,854,487,0.372960372960373,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0870,2,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,54,19,35,27,41,46,60,1,99999,488,625,355,0.372960372960373,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0870,3,WCR2019_0223,WCR2019_0075,within-group subordinate,within-group subordinate,64,27,37,27,48,54,75,1,99999,488,748,418,0.372960372960373,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0871,1,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,63,25,38,27,42,52,67,1,99999,489,624,356,0.352392065344224,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0871,2,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,64,26,38,27,44,53,70,1,99999,489,759,426,0.352392065344224,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0871,3,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,66,33,33,27,27,60,60,1,99999,489,826,474,0.352392065344224,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0872,1,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,51,27,24,23,18,50,45,1,99999,486,824,471,0.465497076023392,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0872,2,WCR2019_0223,WCR2019_0122,within-group subordinate,within-group subordinate,60,31,29,23,25,54,56,1,99999,486,843,479,0.465497076023392,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0872,3,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,60,22,38,23,41,45,63,1,99999,486,623,354,0.465497076023392,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0873,1,WCR2019_0223,WCR2019_0088,within-group subordinate,within-group subordinate,28,19,9,11,0,30,19,1,99999,485,642,378,0.454332552693208,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0873,2,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,32,19,13,11,3,30,22,1,99999,485,823,470,0.454332552693208,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0873,3,WCR2019_0223,WCR2019_0407,within-group subordinate,within-group subordinate,35,22,13,11,4,33,26,1,99999,485,848,481,0.454332552693208,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0874,1,WCR2019_0064,WCR2019_0451,within-group subordinate,within-group subordinate,3,1,2,2,3,3,4,1,99999,630,841,627,0.0568720379146919,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0874,2,WCR2019_0252,WCR2019_0088,within-group subordinate,within-group subordinate,3,0,3,1,3,1,3,1,99999,842,637,635,0.0568720379146919,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0874,3,WCR2019_0252,WCR2019_0122,within-group subordinate,within-group subordinate,3,0,3,1,2,1,2,1,99999,842,832,830,0.0568720379146919,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0876,1,WCR2019_0324,WCR2019_0161,within-group subordinate,within-group subordinate,33,25,8,2,7,27,32,1,99999,857,809,807,0.257275902211874,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0876,2,WCR2019_0361,WCR2019_0161,within-group subordinate,within-group subordinate,33,23,10,5,7,28,30,1,99999,799,809,751,0.257275902211874,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0876,3,WCR2019_0474,WCR2019_0327,within-group subordinate,within-group subordinate,34,27,7,3,6,30,33,1,99999,737,828,712,0.257275902211874,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0878,1,WCR2019_0223,WCR2019_0088,within-group subordinate,within-group subordinate,39,17,22,14,27,31,44,1,99999,487,643,379,0.429404900816803,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0878,2,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,44,28,16,14,11,42,39,1,99999,487,827,473,0.429404900816803,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0878,3,WCR2019_0223,WCR2019_0161,within-group subordinate,within-group subordinate,49,29,20,14,19,43,48,1,99999,487,807,468,0.429404900816803,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0880,1,WCR2019_0337,WCR2019_0405,within-group subordinate,within-group subordinate,4,0,4,2,2,2,2,1,99999,855,808,805,0.474358974358974,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0880,2,WCR2019_0337,WCR2019_0265,within-group subordinate,within-group subordinate,10,8,2,2,0,10,8,1,99999,855,850,847,0.474358974358974,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0880,3,WCR2019_0337,WCR2019_0088,within-group subordinate,within-group subordinate,10,7,3,2,2,9,9,1,99999,855,644,641,0.474358974358974,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0881,1,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,56,22,34,27,36,49,58,1,99999,487,625,355,0.35705950991832,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0881,2,WCR2019_0532,WCR2019_0327,within-group subordinate,within-group subordinate,60,38,22,2,22,40,60,1,99999,846,826,815,0.35705950991832,0,0,NA,NA,none,hothiphop.parents,hot.parents
